ngay,sanluong,chatbeo,protein,bo,phomai,suatachkem,suadac,suanguyenchat
2012-06,984161,4.25,3.45,10485,61677,4988,30204,8793
2012-07,976527,4.2,3.43,10531,63889,5634,31472,10070
2012-08,948758,4.21,3.44,9228,62941,5619,31853,8936
2012-09,907765,4.32,3.52,8083,61398,4640,30030,8461
2012-10,931754,4.49,3.6,8493,64164,4344,32547,9712
2012-11,914765,4.53,3.61,8000,61758,4796,30794,9608
2012-12,983403,4.54,3.6,13338,66136,5560,32713,11848
2013-01,1021883,4.51,3.56,11292,67314,5101,31450,11284
2013-02,940192,4.54,3.57,10896,60698,5140,30999,9623
2013-03,1039943,4.56,3.57,13429,66749,5804,29381,11711
2013-04,1013705,4.5,3.53,13139,65792,5728,29476,10209
2013-05,1081899,4.34,3.49,12521,68310,5760,31923,11926
2013-06,1017690,4.27,3.46,10714,63832,4785,30304,10393
2013-07,1049763,4.18,3.42,9549,66942,5433,29662,11133
2013-08,1043246,4.17,3.42,11144,66674,6449,30510,9305
2013-09,986107,4.3,3.52,7821,64660,4517,26667,10121
2013-10,1011405,4.42,3.6,10476,69005,5714,26508,9959
2013-11,970148,4.5,3.61,9239,65495,4893,31696,9267
2013-12,1036711,4.51,3.59,13236,68046,6038,31774,13360
2014-01,1073921,4.46,3.54,13327,69003,5577,32336,12407
2014-02,980185,4.47,3.53,13394,61278,5490,31323,10844
2014-03,1084192,4.44,3.51,13854,66901,6316,28436,12852
2014-04,1081728,4.37,3.48,12708,65522,5631,32540,13478
2014-05,1094417,4.28,3.48,11907,67065,6223,32040,13907
2014-06,1045568,4.18,3.45,10433,62113,5178,34451,11750
2014-07,1051622,4.15,3.41,10733,67011,5277,33493,10873
2014-08,1036470,4.18,3.45,11152,63666,5373,30146,9853
2014-09,998215,4.26,3.54,9977,61261,4361,30431,10351
2014-10,1015984,4.36,3.57,9926,63883,4547,32987,10200
2014-11,977125,4.44,3.6,10386,60142,4684,30412,10083
2014-12,1033595,4.52,3.6,12727,64096,6423,33600,13084
2015-01,1051819,4.51,3.56,13036,67160,6303,29521,10931
2015-02,954307,4.52,3.55,11298,60462,5959,34251,7823
2015-03,1061825,4.49,3.49,11403,68661,5775,34581,10662
2015-04,1100420,4.42,3.53,12378,70249,5825,34794,10363
2015-05,1166526,4.28,3.51,13394,74202,6296,36949,12240
2015-06,1145600,4.24,3.5,11899,71069,5869,33047,11568
2015-07,1162176,4.17,3.43,12042,72938,5638,32875,12383
2015-08,1147059,4.21,3.46,12228,72736,5365,32728,11964
2015-09,1091193,4.34,3.54,9183,68927,4629,33082,11930
2015-10,1132078,4.45,3.63,12601,73688,5821,32368,11465
2015-11,1112571,4.48,3.6,12871,68927,5742,36947,10583
2015-12,1205300,4.47,3.57,15244,75953,5351,36632,13749
2016-01,1214745,4.51,3.57,16194,76327,6924,33365,13400
2016-02,1161335,4.53,3.57,15803,72494,6400,32509,13376
2016-03,1239907,4.55,3.59,16329,76771,5985,35752,13713
2016-04,1218592,4.47,3.54,14634,75641,6320,25866,14906
2016-05,1263123,4.35,3.5,14841,76351,7224,31111,15306
2016-06,1199718,4.24,3.43,13267,72355,6166,31214,13659
2016-07,1218901,4.19,3.45,12223,74256,5933,31099,14294
2016-08,1202383,4.22,3.45,12456,72496,4202,31551,15115
2016-09,1133945,4.22,3.47,8760,71192,5015,30656,11262
2016-10,1154341,4.44,3.61,12094,73593,5322,31570,10532
2016-11,1112734,4.55,3.67,12142,70735,4751,28779,13370
2016-12,1204713,4.58,3.65,12568,75601,5963,28748,16726
2017-01,1227142,4.54,3.61,14040,75698,6087,31904,15530
2017-02,1120509,4.52,3.6,12436,67995,5416,31709,15250
2017-03,1248567,4.45,3.56,12042,75738,5346,30312,16091
2017-04,1213514,4.4,3.56,13206,73058,5834,28788,17908
2017-05,1255665,4.29,3.54,12739,72978,5629,29018,17768
2017-06,1194276,4.17,3.45,12261,71097,5271,32052,13698
2017-07,1193233,4.17,3.45,10736,73431,4116,31558,15730
2017-08,1182404,4.2,3.5,11392,75783,4047,36233,12536
2017-09,1140773,4.31,3.57,9741,71290,5235,30021,13873
2017-10,1172601,4.39,3.6,13760,72403,5884,30085,14718
2017-11,1144448,4.47,3.65,12578,69905,6058,27617,15149
2017-12,1202801,4.51,3.65,14084,74863,6818,27687,15896
